Data;FZ_POA_total_deflacion;FZ_POA_1D_deflacion;FZ_POA_2D_deflacion;FZ_POA_3D_deflacion;FZ_POA_4D_deflacion;IPCA_POA;CUB_RS;Var_RY_BR_Total;Var_RY_BR_1Dorm;Var_RY_BR_2Dorm;Var_RY_BR_3Dorm;Var_RY_BR_4Dorm;Var_Tx_financ_imob;Var_IBCR_RS;Var_Tx_desocup_BR;Var_expect_infl;;;;;
Aug-12;1,4438;0,4371;2,1233;1,4257;-0,4326;0,4800;0,2316;-0,7243;-1,1592;-0,5415;-0,7554;0,1306;0,0000;3,1883;-1,3333;3,2258;;;;;
Sep-12;0,2874;0,0391;0,7505;0,0467;-4,5094;0,5800;0,3506;-0,4864;-0,8386;-0,4364;-0,5323;0,4375;1,5625;-6,3340;-4,0541;-1,5625;;;;;
Oct-12;0,2305;0,2384;0,3843;0,0895;-1,8709;0,5000;-0,3634;-0,7551;-1,8551;-0,3172;-0,7654;1,3362;0,0000;6,3500;-1,4085;0,0000;;;;;
Nov-12;0,7424;1,1089;0,7813;0,4714;-1,6836;0,4100;0,0764;-0,5025;-0,9315;-0,4839;-0,0318;-0,3452;-1,5385;1,0623;-2,8571;3,1746;;;;;
Dec-12;0,5408;0,4301;0,4562;0,7438;0,9988;0,6200;0,0010;-0,4167;-0,8472;-0,2316;0,3001;-1,3536;-1,5625;-0,9438;1,4706;-1,5385;;;;;
Jan-13;0,4085;0,3519;0,4034;0,4619;0,6871;0,8700;1,9095;0,1152;1,7896;-1,0583;0,1061;0,9845;1,5873;1,7273;5,7971;-1,5625;;;;;
Feb-13;0,7739;1,1191;0,4329;0,7633;1,5180;0,3500;0,2098;0,0307;0,0705;0,0695;0,0380;-0,3940;-3,1250;5,4215;6,8493;9,5238;;;;;
Mar-13;0,7390;1,3343;0,3581;0,4499;1,6982;0,4600;0,5987;-0,0700;0,0502;-0,0271;-0,3089;-0,1167;0,0000;16,2008;3,8462;0,0000;;;;;
Apr-22;0,6645;1,1438;0,5755;0,1593;0,9713;0,3200;0,0166;-0,3700;-0,4665;-0,0857;-0,6583;-0,6962;1,6129;-3,9719;-2,4691;1,4493;;;;;
May-13;-0,0536;-0,0141;0,1174;-0,2944;-0,6332;0,5000;0,8764;-0,7015;-0,8379;-0,5730;-0,7806;-0,7742;0,0000;-13,0947;-2,5316;2,8571;;;;;
Jun-13;0,5460;0,5982;0,8002;0,1301;0,4071;0,1700;3,3551;-0,9398;-1,2434;-0,5591;-0,9416;-1,7405;0,0000;-3,9476;-2,5974;0,0000;;;;;
Jul-13;0,8555;1,0443;0,9127;0,5431;0,7294;0,1000;0,7516;-1,0244;-1,2522;-0,7973;-0,9206;-1,5495;1,5873;4,1098;-1,3333;0,0000;;;;;
Aug-13;1,6871;1,9261;1,7309;1,3618;1,1803;0,4000;0,6046;-0,8943;-0,8600;-0,8247;-1,0141;-0,8941;1,5625;0,1192;-2,7027;-2,7778;;;;;
Sep-13;0,7579;0,7840;0,8457;0,6786;-0,1523;0,6300;-0,0943;-0,7602;-0,7705;-0,9207;-0,7950;0,1544;3,0769;-3,5783;-2,7778;1,4286;;;;;
Oct-13;0,9028;0,3547;1,0421;1,3032;2,1285;0,5500;0,4109;-0,6492;-0,5430;-0,0357;-1,5221;0,5802;4,4776;6,3190;-2,8571;0,0000;;;;;
Nov-13;0,0648;0,0121;0,0150;0,1366;0,8201;0,6100;0,6258;-0,5680;-0,8425;-0,4501;-0,8149;0,5426;1,4286;0,0000;-2,9412;1,4085;;;;;
Dec-13;0,1864;0,1642;0,0021;0,3290;1,8698;0,6700;0,3993;-0,3284;0,0706;-0,4497;-0,8958;0,5193;0,0000;-3,0189;-4,5455;-1,3889;;;;;
Jan-14;0,6342;1,2868;0,2294;0,3532;0,7727;0,5300;1,5663;-1,1455;-1,1706;-0,8895;-0,4440;-5,4898;7,0423;1,8108;3,1746;2,8169;;;;;
Feb-14;-0,8233;-0,4485;-1,0575;-1,0978;0,4355;0,4600;0,6386;0,1813;0,2890;0,0626;0,3274;-0,2454;-7,8947;7,0263;4,6154;-1,3699;;;;;
Mar-14;-1,9800;-1,4986;-2,0200;-2,5227;-2,3730;0,9300;0,3722;-0,0184;-0,5047;0,0003;0,3491;0,0725;11,4286;15,4924;5,8824;0,0000;;;;;
Apr-14;-2,4042;-2,2671;-2,1927;-2,8643;-2,7136;1,0800;0,4357;0,1217;0,2468;0,2168;-0,0960;-0,3778;-5,1282;-7,6287;0,0000;4,1667;;;;;
May-14;-0,4494;-0,2943;-0,3526;-0,7122;-1,3585;0,7500;-0,1461;0,0963;1,3160;-0,2379;-0,2996;-1,5755;2,7027;-13,5436;-1,3889;-4,0000;;;;;
Jun-14;0,9505;1,1063;1,0429;0,6742;0,2199;0,2900;3,3275;-0,4045;0,1111;-0,4813;-0,5053;-1,7277;-2,6316;-7,4157;-2,8169;2,7778;;;;;
Jul-14;1,1716;1,5277;1,1426;0,9003;-0,6227;0,0500;0,3647;-0,5382;-0,3245;-0,6645;-0,5031;-1,0163;4,0541;3,9807;1,4493;-2,7027;;;;;
Aug-14;0,9438;1,0554;0,8963;0,9337;0,1654;0,1500;0,1624;-0,8869;-1,5851;-0,7138;-0,5747;-0,0877;0,0000;0,2243;0,0000;0,0000;;;;;
Sep-14;0,7534;0,7999;0,6291;0,7164;2,4399;0,4100;-0,2561;-0,5964;-0,2523;-0,7943;-0,7361;-0,5750;-1,2987;0,0849;-1,4286;1,3889;;;;;
Oct-14;0,0310;-0,1995;-0,0515;0,2594;2,2493;0,7400;-0,0034;-0,7520;-0,5913;-0,7924;-0,8914;-0,5817;0,0000;3,7625;-2,8986;2,7397;;;;;
Nov-14;0,6505;0,3443;0,6844;0,7896;3,0373;0,3900;0,2610;-0,3585;0,2138;-0,5161;-0,6607;-0,8133;-2,6316;-0,8248;-1,4925;0,0000;;;;;
