Data,FipeZap_POA_3Dorm,Rent_Yield_Br,IPCA_POA,SINAPI_RS,Tx_financ_imob,CUB_RS_varmens,PIB_RS_vartrimestr,Tx_desocup_RS,SELIC_aa,IBCR_RS,Tx_desocup_BR
7/1/12,0.909502972208356,0.44,0.6,0.15,0.64,2.52,8.68882289329618,4.7,8.50,125.42,7.5
8/1/12,1.91250916254208,0.43,0.48,0.44,0.64,0.23,8.68882289329618,4.7,8.00,129.43,7.4
9/1/12,0.626958923503175,0.43,0.58,0.48,0.65,0.35,8.68882289329618,4.7,7.50,121.24,7.1
10/1/12,0.589932950385028,0.43,0.5,0.02,0.65,-0.36,-0.070707439988904,4.4,7.50,128.73,7
11/1/12,0.883299336679835,0.43,0.41,0.05,0.64,0.08,-0.070707439988904,4.4,7.25,130.17,6.8
12/1/12,1.36843553543869,0.43,0.62,0.13,0.63,0.00,-0.070707439988904,4.4,7.25,129.43,6.9
1/1/13,1.33591196055907,0.43,0.87,0.31,0.64,1.91,2.50308746041183,5.4,7.25,131.21,7.3
2/1/13,1.11601889039072,0.43,0.35,1.43,0.62,0.21,2.50308746041183,5.4,7.25,139.41,7.8
3/1/13,0.911980169554705,0.43,0.46,1.05,0.62,0.60,2.50308746041183,5.4,7.25,160.56,8.1
4/1/13,0.479856468320997,0.42,0.32,0.03,0.63,0.02,4.40407438045713,4.6,7.25,154.08,7.9
5/1/13,0.204143734723589,0.42,0.5,-4.95,0.63,0.88,4.40407438045713,4.6,7.50,134.1,7.7
6/1/13,0.300274970845575,0.42,0.17,9.88,0.63,3.36,4.40407438045713,4.6,8.00,128.99,7.5
7/1/13,0.643664540729811,0.41,0.1,-5.52,0.64,0.75,-1.37458601887488,4.9,8.00,134.21,7.4
8/1/13,1.76722765337708,0.41,0.4,-0.45,0.65,0.60,-1.37458601887488,4.9,8.50,134.4,7.2
9/1/13,1.31287406392645,0.41,0.63,0.36,0.67,-0.09,-1.37458601887488,4.9,9.00,129.57,7
10/1/13,1.86036439519479,0.40,0.55,0.09,0.7,0.41,0.527757420100294,4.7,9.00,137.42,6.8
11/1/13,0.747467992883009,0.40,0.61,-0.4,0.71,0.63,0.527757420100294,4.7,9.50,137.45,6.6
12/1/13,1.00119531570576,0.39,0.67,0.43,0.71,0.40,0.527757420100294,4.7,10.00,133.98,6.3
1/1/14,0.885112548859595,0.39,0.53,0.11,0.76,1.57,0.125588523694775,5.4,10.00,135.98,6.5
2/1/14,-0.642836186882952,0.39,0.46,0.65,0.7,0.64,0.125588523694775,5.4,10.50,146.82,6.8
3/1/14,-1.6162108076142,0.39,0.93,0.65,0.78,0.37,0.125588523694775,5.4,10.75,168.09,7.2
4/1/14,-1.81521674658607,0.39,1.08,0.54,0.74,0.44,-1.40337027144718,5,10.75,155.03,7.2
5/1/14,0.032449517916987,0.39,0.75,0.62,0.76,-0.15,-1.40337027144718,5,11.00,134.12,7.1
